Module;Functionality;Tag;Discontinued;Standard;Professional;Enterprise;Unavailable
Modulo Base;;SEVR;False;X;X;X;False
;Descrizioni Multilingua;SEVR;False;FALSE;X;X;False
;Multivaluta;SEVR;False;FALSE;X;X;False
;Gestione Contatti;SEVR;False;FALSE;FALSE;TRUE;True
;Budget (Cli/For);SEVR;False;FALSE;FALSE;TRUE;True
Contabilità Generale;;CONT;False;X;X;X;False
;Registri IVA vendite;CONT;False;max;max;X;False
;Registri IVA acquisti;CONT;False;max;max;X;False
;Registri IVA di altro tipo;CONT;False;max;max;X;False
;Modelli contabili personalizzabili;CONT;False;FALSE;X;X;False
;Import contabile Fatturazione Elettronica Passiva;;False;FALSE;X;X;False
;Gestione Pro-rata;CONT;False;X;X;X;False
;IVA Agenzie di Viaggio;CONT;False;X;X;X;False
;Gestione Plafond;CONT;False;FALSE;X;X;False
;Presentazioni effetti parametrizzabili;CONT;False;FALSE;X;X;False
;Gestione reversali di incasso;CONT;False;FALSE;X;X;False
;Solleciti di pagamento;CONT;False;FALSE;X;X;False
;Analisi Scadenzari e Cash Flow;CONT;False;FALSE;FALSE;X;False
;Gestione Factoring;CONT;False;FALSE;FALSE;X;False
;Gestione automatica insoluti;CONT;False;FALSE;FALSE;X;False
;Ratei e risconti automatici;CONT;False;FALSE;X;X;False
;Analisi e riclassificazioni bilancio;CONT;False;FALSE;X;X;False
;Gestione parcelle professionisti e ritenute d'acconto;CONT;False;FALSE;X;X;False
Gestione Banche Avanzato;SEPA XML;BAPL;False;X;X;X;False
;Bonifici esteri / mandati SDD;BAPL;False;FALSE;X;X;False
;Riconciliazioni bancarie;BAPL;False;FALSE;FALSE;X;False
Cespiti;;CSPT;False;FALSE;X;X;False
Contabilità Previsionale;;COPR;False;FALSE;FALSE;X;False
XBRL Bilancio;;XBRL;False;FALSE;FALSE;X;False
Libro Inventari e Allegati;;LIBR;False;FALSE;FALSE;X;False
Analisi di Bilancio (Basilea II);;BAII;False;FALSE;FALSE;X;False
Bilancio Consolidato;;BICO;False;FALSE;FALSE;X;False
Contabilità Analitica;;COAN;False;FALSE;X;X;False
;Linee di Prodotto;COAN;False;FALSE;FALSE;X;False
;Ribaltamenti;COAN;False;FALSE;FALSE;X;False
Gestione cassa;;CASH;False;FALSE;FALSE;X;False
Intrastat;;INTR;False;FALSE;FALSE;X;False
Zucchetti Cross-Applications;Connettore AGO;CONT;False;X;X;X;False
;Connettore B&O / Maestro;CONT;False;X;X;X;False
;Connettore Magix Fisco Azienda;CONT;False;X;X;X;False
;Connettore OMNIA;CONT;False;X;X;X;False
;Connettore Paghe Web;CONT;False;X;X;X;False
;Connettore TESAN;VEDT;False;FALSE;FALSE;FALSE;True
Tesoreria;;;False;FALSE;FALSE;X;False
Vendite/Acquisti;;;False;X;X;X;True
;Copia documenti;VEDT;False;FALSE;FALSE;FALSE;True
;Import/Export file articoli e note;VEDT;False;FALSE;FALSE;FALSE;True
;Politiche prezzi;VEDT;False;FALSE;FALSE;FALSE;True
;Multilistino;VEDT;False;FALSE;FALSE;FALSE;True
;Codice parlante;VEDT;False;FALSE;FALSE;FALSE;True
;Multiple Unità di Misura dell'Articolo;VEDT;False;FALSE;FALSE;FALSE;True
;Quantità accessorie;VEDT;False;FALSE;FALSE;FALSE;True
;Codice a barre d'acquisto e di vendita;VEDT;False;FALSE;FALSE;FALSE;True
;Articoli equivalenti;VEDT;False;FALSE;FALSE;FALSE;True
;Produttori/Categorie prodotti;VEDT;False;FALSE;FALSE;FALSE;True
Politiche Spese;;VEDT;False;FALSE;FALSE;FALSE;True
Ordini da clienti;;ORCL;False;FALSE;FALSE;FALSE;True
;Offerte a clienti;ORCL;False;FALSE;FALSE;FALSE;True
Fatturazione/Bollettazione;;VEDT;False;X;X;X;False
;Fatturazione Elettronica Attiva;;False;X;X;X;False
;Gestione di più bollettari;VEDT;False;FALSE;TRUE;TRUE;True
;Picking List;VEDT;False;FALSE;TRUE;TRUE;True
e-commerce;;;False;FALSE;FALSE;FALSE;True
CRM;Infinity Connector;MAIF;False;TRUE;X;X;False
;ICRM Pat Connector;INPC;False;FALSE;X;X;False
Conai;;CONA;False;FALSE;FALSE;FALSE;True
RAEE;;RAEE;False;FALSE;FALSE;FALSE;True
Sales Force Management;;SFMG;False;FALSE;FALSE;FALSE;True
Gestione Fidi;;CRED;False;FALSE;X;X;True
Oneri accessori;;;False;FALSE;FALSE;FALSE;True
Ordini fornitori;;ORFO;False;FALSE;FALSE;FALSE;True
;Gestione offerte da fornitore;ORFO;False;FALSE;FALSE;FALSE;True
Acquisti;;ACQT;False;FALSE;FALSE;FALSE;True
Fatturazione Elettronica Import. Ciclo Passivo;;;False;FALSE;TRUE;TRUE;True
Controllo qualità;;INSP;False;FALSE;FALSE;FALSE;True
Magazzino;;MAGA;False;FALSE;FALSE;FALSE;True
;Multi deposito;MAGA;False;FALSE;FALSE;FALSE;True
;LIFO/FIFO a scatti continui;MAGA;False;FALSE;FALSE;FALSE;True
;Movimenti di magazzino di rettifica inventariale;MAGA;False;FALSE;FALSE;FALSE;True
;Note Tecniche;MAGA;False;FALSE;FALSE;FALSE;True
LIFO/FIFO a scatti continui;;MAGA;False;FALSE;FALSE;FALSE;True
Barcode Manager;;BARC;False;FALSE;FALSE;FALSE;True
Lotti e Matricole;;LOTT;False;FALSE;FALSE;FALSE;True
WMS;Base;WMAA;False;FALSE;FALSE;FALSE;True
;Avanzato;WMAD;False;FALSE;FALSE;FALSE;True
;Shipping;WMAA;False;FALSE;FALSE;FALSE;True
;Mobile;WMRF;False;FALSE;FALSE;FALSE;True
Distinta Base;;DIST;False;FALSE;FALSE;FALSE;True
;Calendario Associato ai CdL;DIST;False;FALSE;FALSE;FALSE;True
;Famiglie di CdL;DIST;False;FALSE;FALSE;FALSE;True
;E.C.O.;DIST;False;FALSE;FALSE;FALSE;True
Varianti;;VARI;False;FALSE;FALSE;FALSE;True
Configuratore;;CONF;False;FALSE;FALSE;FALSE;True
Produzione Base;;PRZB;False;FALSE;FALSE;FALSE;True
Produzione Avanzata;;PRZA;False;FALSE;FALSE;FALSE;True
;Gestione Disegni;PRZA;False;FALSE;FALSE;FALSE;True
;Storico disegni e indici di revisione;PRZA;False;FALSE;FALSE;FALSE;True
;Pannello di Controllo;PRZA;False;FALSE;FALSE;FALSE;True
;Dettaglio delle Consuntivazioni OdP;PRZA;False;FALSE;FALSE;FALSE;True
;Confronto tra OdP e Distinta;PRZA;False;FALSE;FALSE;FALSE;True
;Kanban;PRZA;False;FALSE;FALSE;FALSE;True
;Analisi materiali in produzione;PRZA;False;FALSE;FALSE;FALSE;True
Ordini Aperti;;OPOR;False;FALSE;FALSE;FALSE;True
Manufacturing Mobile;;MANM;False;FALSE;FALSE;FALSE;True
Pianificazione;Base;PRZP;False;FALSE;FALSE;FALSE;True
;Avanzata;PRPA;False;FALSE;FALSE;FALSE;True
;Gestione Make or Buy;PRPA;False;FALSE;FALSE;FALSE;True
Attrezzi;;;False;FALSE;FALSE;FALSE;True
DMS;Base;EATT;False;FALSE;X;X;False
;SOSConnector;SOSC;False;FALSE;X;X;False
;Massive Archiving Plug-In;EATT;False;FALSE;FALSE;X;False
Mail Services;;MAIL;False;FALSE;X;X;False
Resources Management;;;False;FALSE;FALSE;TRUE;True
Calendario Aziendale;;;False;FALSE;FALSE;FALSE;True
Reporting Personalizzati;;;False;max;max;X;False
Collaboration Services;;;False;X;X;X;False
Administration Services;;;False;X;X;X;False
Subscription Management;;;False;X;X;X;False
Job Scheduler;;SCHD;False;FALSE;FALSE;X;False
Security;Access profiles;OSLS;False;FALSE;X;X;False
;Auditing;AUDT;False;FALSE;X/0;X;False
;Visibility;;False;FALSE;X/0;X;False
Integration Tools;IMS;;False;FALSE;X/0;X/0;False
;MagicLink;;False;FALSE;X/0;X/0;False
;Xgate;;False;FALSE;X/0;X/0;False
IMS Studio;;;False;FALSE;X/0;X/0;False
Reporting Services Studio;;;False;FALSE;X/0;X/0;False
InfoBusiness Connector Standard;;IBCO;False;FALSE;X;X;False
Easy Look;;ELSR;True;FALSE;FALSE;FALSE;False
Spesometro;;FISC;True;FALSE;FALSE;FALSE;False
Magic Document;;MDOC;True;FALSE;FALSE;FALSE;False
Migration Kit da MagoXP a Mago.Net;;MIGR;True;FALSE;FALSE;FALSE;False
Security Light;;OSLL;True;FALSE;FALSE;FALSE;False
Ubicazioni;;UBIC;True;FALSE;FALSE;FALSE;False
Xgate;;XGAT;True;FALSE;FALSE;FALSE;False
