Module;Functionality;Tag;Discontinued;Fragment;AllowISO;DenyISO;License;MLU
Modulo Base;;SEVR;FALSE;Server;;;495.00;89.00
;Descrizioni Multilingua;SEVR;FALSE;Languages;;;0;0
;Multivaluta;SEVR;FALSE;Currencies;;;0;0
;Gestione Contatti;SEVR;FALSE;Contacts;;;0;0
;Budget (Cli/For);SEVR;FALSE;Budget;;;0;0
Contabilità Generale;;CONT;FALSE;Financials;;;660.00;119.00
;Registri IVA vendite;CONT;FALSE;MultiTaxJournals;;;0;0
;Registri IVA acquisti;CONT;FALSE;MultiTaxJournals;;;0;0
;Registri IVA di altro tipo;CONT;FALSE;MultiTaxJournals;;;0;0
;Modelli contabili personalizzabili;CONT;FALSE;CustomizedAccountingTemplates;;;0;0
;Import contabile Fatturazione Elettronica Passiva;CPCO;FALSE;PurchaseElectronicInvoicing;IT;;150.00;27.00
;Gestione Pro-rata;CONT;FALSE;ProRata;IT,RO,RS,HR,ES;;0;0
;IVA Agenzie di Viaggio;CONT;FALSE;TravelAgencyVAT;IT;;0;0
;Gestione Plafond;CONT;FALSE;Plafond;IT,HU;;0;0
;Presentazioni effetti parametrizzabili;CONT;FALSE;AP_AR_Plus;;;0;0
;Gestione reversali di incasso;CONT;FALSE;AP_AR_Plus;;;0;0
;Gestione Factoring;CONT;FALSE;AP_AR_Plus;;;0;0
;Gestione automatica insoluti;CONT;FALSE;AP_AR_Plus;;;0;0
;Solleciti di pagamento;CONT;FALSE;Dunnings;;;0;0
;Analisi Scadenzari e Cash Flow;CONT;FALSE;AP_AR_Analysis;;;0;0
;Ratei e risconti automatici;CONT;FALSE;AccrualsDeferrals;;;0;0
;Analisi e riclassificazioni bilancio;CONT;FALSE;BalanceAnalysis;;;0;0
;Gestione parcelle professionisti e ritenute d'acconto;CONT;FALSE;Payees;IT,RS,HR,CL,RO,NL,TN,ES;;0;0
;CADI (liquidazione e dati documenti IVA);CONT;FALSE;CADI;;;0;0
Gestione Banche Avanzato;SEPA XML;BAPL;FALSE;Banks_Plus;IT;;330.00;59.00
;Bonifici esteri / mandati SDD;BAPL;FALSE;Banks_Plus;IT;;0;0
;Riconciliazioni bancarie;BAPL;FALSE;Banks_Plus;IT;;0;0
Tesoreria;;TESO;FALSE;;IT;;1200.00;300.00
Cespiti;;CSPT;FALSE;FixedAssets;;;605.00;109.00
Contabilità Previsionale;;COPR;FALSE;ForecastAccounting;;;275.00;50.00
XBRL Bilancio;;XBRL;FALSE;XBRL;IT;;550.00;99.00
Libro Inventari e Allegati;;LIBR;FALSE;AccountingBooks;;;440.00;79.00
Analisi di Bilancio (Basilea II);;BAII;FALSE;Basel_II;IT;;330.00;59.00
Bilancio Consolidato;;BICO;FALSE;MultiCompanyBalances;;;605.00;109.00
Contabilità Analitica;;COAN;FALSE;CostAccounting;;;748.00;135.00
;Linee di Prodotto;COAN;FALSE;ProductLines;;;0;0
;Ribaltamenti;COAN;FALSE;CostAccountingTransfer;;;0;0
Gestione cassa;;CASH;FALSE;Cash;;IT,CH,BR;110.00;20.00
Intrastat;;INTR;FALSE;Intrastat;AT,BE,BG,CY,CZ,DE,DK,EE,FI,FR,GB,GR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,ES;;165.00;30.00
Zucchetti Cross-Applications;Connettore SOS;SOSC;FALSE;;IT;;0;0
;Connettore AGO;CONT;FALSE;AGOConnector;IT;;0;0
;Connettore B&O / Maestro;CONT;FALSE;BEOConnector;IT;;0;0
;Connettore Magix Fisco Azienda;CONT;FALSE;FiscoAziendaConnector;IT;;0;0
;Connettore OMNIA;CONT;FALSE;OMNIAConnector;IT;;0;0
;Connettore Paghe Web;CONT;FALSE;PayrollImport;IT;;0;0
;Connettore TESAN;VEDT;FALSE;TESANConnector;IT;;0;0
Vendite/Acquisti;;VEDT;FALSE;Sales;;;0;0
;Copia documenti;VEDT;FALSE;DocumentCopy;;;0;0
;Import/Export file articoli e note;VEDT;FALSE;DocumentDetailImportExport;;;0;0
;Politiche prezzi;VEDT;FALSE;PricePolicies;;;0;0
;Multilistino;VEDT;FALSE;PricePolicies;;;0;0
;Codice parlante;VEDT;FALSE;SmartCode;;;0;0
;Multiple Unità di Misura dell'Articolo;VEDT;FALSE;AdvancedUoMs;;;0;0
;Quantità accessorie;VEDT;FALSE;AdditionalQty;;;0;0
;Codice a barre d'acquisto e di vendita;VEDT;FALSE;PurhcaseBarCode;;;0;0
;Articoli equivalenti;VEDT;FALSE;SubstituteItems;;;0;0
;Produttori/Categorie prodotti;VEDT;FALSE;ProductCategories;;;0;0
Politiche Spese;;VEDT;FALSE;ChargePolicies;;BR;0;0
Ordini da clienti;;ORCL;FALSE;SaleOrders;;;385.00;69.00
;Offerte a clienti;ORCL;FALSE;CustomerQuotations;;;0;0
Fatturazione/Bollettazione;;VEDT;FALSE;;;;440.00;79.00
;Fatturazione Elettronica Attiva;;FALSE;ElectronicInvoicing;IT,HU,BR;;0;0
;Gestione di più bollettari;VEDT;FALSE;MultiStubBooks;;;0;0
;Picking List;VEDT;FALSE;PickingList;;;0;0
e-commerce;;;FALSE;;;;0;0
CRM;Infinity Connector;MAIF;FALSE;;;;0;0
;ICRM Pat Connector;INPC;FALSE;;;;0;0
Conai;;CONA;FALSE;Conai;IT,RO,BG,HU,ES;;165.00;30.00
RAEE;;RAEE;FALSE;WEEE;AT,BE,BG,CY,CZ,DE,DK,EE,FI,FR,GB,GR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK;;275.00;50.00
Sales Force Management;;SFMG;FALSE;SalesPeople;;;275.00;50.00
Gestione Fidi;;CRED;FALSE;CreditLimit;;;275.00;50.00
Oneri accessori;;;FALSE;AdditionalCharges;;BR;0;0
Ordini fornitori;;ORFO;FALSE;PurchaseOrders;;;385.00;69.00
;Gestione offerte da fornitore;ORFO;FALSE;SupplierQuotations;;;0;0
Acquisti;;ACQT;FALSE;Purchases;;;605.00;109.00
;Fatturazione Elettronica Import. Ciclo Passivo;;FALSE;;;;0;0
Magazzino;;MAGA;FALSE;Inventory;;;440.00;79.00
;Multi deposito;MAGA;FALSE;MultiStorage;;;0;0
;LIFO/FIFO a scatti continui;MAGA;FALSE;SingleStepLifoFifo;RO,RS,HR,PL,US,CN,JP,ES;;0;0
;Movimenti di magazzino di rettifica inventariale;MAGA;FALSE;InventoryAdjustment;;;0;0
Controllo qualità;;INSP;FALSE;QualityInspection;;;550.00;99.00
;Note Tecniche;CFIN;FALSE;QualityInspection;;;0;0
Barcode Manager;;BARC;FALSE;Barcode;;;330.00;59.00
Lotti e Matricole;;LOTT;FALSE;LotsSerials;;;165.00;30.00
WMS;Base;WMAA;FALSE;WMSBasic;;;1650.00;297.00
;Avanzato;WMAD;FALSE;WMSAdvanced;;;2860.00;515.00
;Shipping;;FALSE;WMSShipping;;;0;0
;Mobile;WMRF;FALSE;WMSMobile;;;1100.00;198.00
Distinta Base;;DIST;FALSE;BillOfMaterials;;;748.00;135.00
;Calendario Associato ai CdL;DIST;FALSE;BillOfMaterials;;;0;0
;Famiglie di CdL;DIST;FALSE;BillOfMaterials;;;0;0
;E.C.O.;ECO;FALSE;ECO;;;0;0
Varianti;;VARI;FALSE;Variants;;;605.00;109.00
Configuratore;;CONF;FALSE;Configurator;;;748.00;135.00
Produzione Base;;PRZB;FALSE;ManufacturingBasic;;;748.00;135.00
Produzione Avanzata;;PRZA;FALSE;ManufacturingAdvanced;;;2860.00;515.00
;Dettaglio delle Consuntivazioni OdP;PRZA;FALSE;ManufacturingAdvanced;;;0;0
;Confronto tra OdP e Distinta;PRZA;FALSE;ManufacturingAdvanced;;;0;0
;Analisi materiali in produzione;PRZA;FALSE;ManufacturingAdvanced;;;0;0
;Gestione Disegni;PRZA;FALSE;BillOfMaterials;;;0;0
;Storico disegni e indici di revisione;PRZA;FALSE;BillOfMaterialsPlus;;;0;0
;Pannello di Controllo;PRZA;FALSE;ManufacturingPlus;;;0;0
;Kanban;PRZA;FALSE;Kanban;;;0;0
Ordini Aperti;;OPOR;FALSE;OpenOrders;;;880.00;158.00
Manufacturing Mobile;;MANM;FALSE;ManufacturingMobile;;;1320.00;238.00
Pianificazione;Base;PRZP;FALSE;ManufacturingPlanning;;;3300.00;594.00
;Avanzata;PRPA;FALSE;MRPAdvanced;;;2200.00;396.00
;Gestione Make or Buy;PRPA;FALSE;MRPAdvanced;;;0;0
Attrezzi;;ATTR;FALSE;ToolsManagement;;;880.00;158.00
DMS;Base;EATT;FALSE;;;;1650.00;297.00
;Massive Archiving Plug-In;MASS;FALSE;;;;300.00;54.00
Mail Services;;MAIL;FALSE;;;;0;0
Resources Management;;;FALSE;;;;0;0
Calendario Aziendale;;;FALSE;;;;0;0
Reporting Personalizzati;;;FALSE;;;;0;0
Collaboration Services;;;FALSE;;;;0;0
Administration Services;;;FALSE;;;;0;0
Subscription Management;;;FALSE;;;;0;0
Job Scheduler;;SCHD;FALSE;JobScheduler;;;660.00;119.00
Security;;OSLL;FALSE;Security;;;660.00;119.00
;Access profiles;OSLS;FALSE;Security;;;3000.00;540.00
;Auditing;AUDT;FALSE;Auditing;;;308.00;55.00
;Visibility;;FALSE;;;;0;0
Integration Tools;IMS;;FALSE;;;;0;0
;MagicLink;;FALSE;MagicLink;;;0;0
IMS Studio;;;FALSE;;;;0;0
Reporting Services Studio;;;FALSE;;;;0;0
InfoBusiness Connector Standard;;IBCO;FALSE;IBConnector;;;0;0
Easy Look;;ELSR;TRUE;;;;0;0
Spesometro;;FISC;TRUE;;;;0;0
Magic Document;;MDOC;TRUE;;;;0;0
Migration Kit da MagoXP a Mago.Net;;MIGR;TRUE;;;;0;0
Security Light;;OSLL;TRUE;;;;0;0
Ubicazioni;;UBIC;TRUE;;;;0;0
Xgate;;XGAT;TRUE;;;;0;0
