Module;Functionality;Tag;Discontinued;Fragment;AllowISO;DenyISO;NotYetAvailable
_Base Module;;SEVR;FALSE;Server;;;FALSE
;Multilanguage descriptions;SEVR;FALSE;Languages;;;FALSE
;Multicurrency;SEVR;FALSE;Currencies;;;FALSE
;Contacts Management;SEVR;FALSE;Contacts;;;FALSE
;Budget (Cust/Supp);SEVR;FALSE;Budget;;;FALSE
;KPI Dashboards mobile app;KPIM;FALSE;KPIMobileApp;;;FALSE
Financials;;CONT;FALSE;Financials;;BR;FALSE
;Customizable Tax Journals;CONT;FALSE;MultiTaxJournals;;BR;FALSE
;Customizable Accounting Templates;CONT;FALSE;CustomizedAccountingTemplates;;BR;FALSE
;Purchase Electronic Invoice Accounting Import;CPCO;FALSE;PurchaseElectronicInvoicing;IT;;FALSE
;Plafond Management;CONT;FALSE;Plafond;IT,HU;;FALSE
;Advanced AP/AR Management;CONT;FALSE;AP_AR_Plus;;;FALSE
;Dunning letters;CONT;FALSE;Dunnings;;;FALSE
;Payment Schedule Analysis and Cash Flow;CONT;FALSE;AP_AR_Analysis;;;FALSE
;Automatic Accrual and Deferrals;CONT;FALSE;AccrualsDeferrals;;BR;FALSE
;Balance Analysis and Reclassifications;CONT;FALSE;BalanceAnalysis;;BR;FALSE
;Professionals Fees and Withholding Tax;CONT;FALSE;Payees;IT,RS,HR,CL,RO,NL,TN,ES;;FALSE
Advanced Banks Management;;BAPL;TRUE;;IT;;FALSE
Fixed Assets;;CSPT;FALSE;FixedAssets;;;FALSE
Forecast Accounting;;COPR;FALSE;ForecastAccounting;;BR;FALSE
XBRL Balance;;XBRL;FALSE;XBRL;IT;;FALSE
Accounting Books and Balance Attachments;;LIBR;FALSE;AccountingBooks;;BR;FALSE
Balance Analysis (Basel II);;BAII;FALSE;Basel_II;IT;;TRUE
Multicompany Balance;;BICO;FALSE;MultiCompanyBalances;;BR;FALSE
Analysis & Controlling;;COAN;FALSE;CostAccounting;;;FALSE
;Product Lines;CFIN;FALSE;ProductLines;;;FALSE
;Transfers;CFIN;FALSE;CostAccountingTransfer;;;FALSE
Cash Management;;CASH;FALSE;Cash;;IT,CH,BR;FALSE
Intrastat;;INTR;FALSE;Intrastat;AT,BE,BG,CY,CZ,DE,DK,EE,FI,FR,GB,GR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,ES;;FALSE
Sales / Purchases;;VEDT;FALSE;SalePurchaseDocuments;;;FALSE
