Module;Functionality;Tag;Discontinued;Fragment;AllowISO;DenyISO;Standard;Professional;Enterprise;Unavailable
Modulo Base;;SEVR;False;Server;;;X;X;X;False
;Descrizioni Multilingua;SEVR;False;Languages;;;;X;X;False
;Multivaluta;SEVR;False;Currencies;;;;X;X;False
;Gestione Contatti;SEVR;False;Contacts;;;;X;X;False
;Budget (Cli/For);SEVR;False;Budget;;;;X;X;False
Contabilità Generale;;CONT;False;Financials;;;X;X;X;False
;Registri IVA vendite;CONT;False;MultiTaxJournals;;;max;max;X;False
;Registri IVA acquisti;CONT;False;MultiTaxJournals;;;max;max;X;False
;Registri IVA di altro tipo;CONT;False;MultiTaxJournals;;;max;max;X;False
;Modelli contabili personalizzabili;CONT;False;CustomizedAccountingTemplates;;;;X;X;False
;Import contabile Fatturazione Elettronica Passiva;;False;PurchaseElectronicInvoicing;IT;;;X;X;False
;Gestione Pro-rata;CONT;False;ProRata;IT,RO,RS,HR,ES;;X;X;X;False
;IVA Agenzie di Viaggio;CONT;False;TravelAgencyVAT;IT;;X;X;X;False
;Gestione Plafond;CONT;False;Plafond;IT,HU;;;X;X;False
;Presentazioni effetti parametrizzabili;CONT;False;AP_AR_Plus;;;;X;X;False
;Gestione reversali di incasso;CONT;False;AP_AR_Plus;;;;X;X;False
;Gestione Factoring;CONT;False;AP_AR_Plus;;;;;X;False
;Gestione automatica insoluti;CONT;False;AP_AR_Plus;;;;;X;False
;Solleciti di pagamento;CONT;False;Dunnings;;;;X;X;False
;Analisi Scadenzari e Cash Flow;CONT;False;AP_AR_Analysis;;;;;X;False
;Ratei e risconti automatici;CONT;False;AccrualsDeferrals;;;;X;X;False
;Analisi e riclassificazioni bilancio;CONT;False;BalanceAnalysis;;;;X;X;False
;Gestione parcelle professionisti e ritenute d'acconto;CONT;False;Payees;IT,RS,HR,CL,RO,NL,TN,ES;;;X;X;False
;CADI (liquidazione e dati documenti IVA);CONT;False;CADI;;;;X;X;False
Gestione Banche Avanzato;SEPA XML;BAPL;False;Banks_Plus;IT;;X;X;X;False
;Bonifici esteri / mandati SDD;BAPL;False;Banks_Plus;IT;;;X;X;False
;Riconciliazioni bancarie;BAPL;False;Banks_Plus;IT;;;;X;False
Cespiti;;CSPT;False;FixedAssets;;;;X;X;False
Contabilità Previsionale;;COPR;False;ForecastAccounting;;;;;X;False
XBRL Bilancio;;XBRL;False;XBRL;IT;;;;X;False
Libro Inventari e Allegati;;LIBR;False;AccountingBooks;;;;;X;False
Analisi di Bilancio (Basilea II);;BAII;False;Basel_II;IT;;;;X;False
Bilancio Consolidato;;BICO;False;MultiCompanyBalances;;;;;X;False
Contabilità Analitica;;COAN;False;CostAccounting;;;;X;X;False
;Linee di Prodotto;COAN;False;ProductLines;;;;;X;False
;Ribaltamenti;COAN;False;CostAccountingTransfer;;;;;X;False
Gestione cassa;;CASH;False;Cash;;IT,CH,BR;;;X;False
