Tag;Module;Functionality;Discontinued
SEVR;Modulo Base;Descrizioni Multilingua;FALSE
SEVR;;Gestione Contatti;FALSE
SEVR;;Budget (Cli/For);FALSE
SEVR;;Multivaluta;FALSE
CONT;Contabilità Generale;Gestione Pro-rata ;FALSE
CONT;;Gestione Plafond;FALSE
CONT;;Modelli contabili personalizzabili;FALSE
CONT;;IVA Agenzie di Viaggio;FALSE
CONT;;Ratei e risconti automatici;FALSE
CONT;;Analisi e riclassificazioni bilancio;FALSE
CONT;;Presentazioni effetti parametrizzabili;FALSE
CONT;;Gestione reversali di incasso;FALSE
CONT;;Gestione Factoring;FALSE
CONT;;Solleciti di pagamento;FALSE
CONT;;Gestione automatica insoluti;FALSE
CONT;;Analisi Scadenzari e Cash Flow;FALSE
CONT;;Gestione parcelle professionisti e ritenute d'acconto;FALSE
CONT;;Illimitati registri IVA vendite;FALSE
CONT;;Illimitati registri IVA acquisti;FALSE
CONT;;Illimitati registri IVA di altro tipo;FALSE
COPR;Contabilità Previsionale;;FALSE
XBRL;XBRL Bilancio;;FALSE
BAII;Analisi di Bilancio (Basilea II);;FALSE
BICO;Bilancio Consolidato ;;FALSE
COAN;Contabilità Analitica;Linee di Prodotto;FALSE
COAN;;Ribaltamenti;FALSE
CSPT;Cespiti ;;FALSE
CASH;Gestione cassa;;FALSE
INTR;Intrastat;;FALSE
BAPL;Gestione Banche Avanzato;;FALSE
LIBR;Libro Inventari e Allegati;;FALSE
;Tesoreria;;FALSE
;Fatturazione Elettronica Passiva;;FALSE
;Fatturazione Elettronica Import. Ciclo Passivo;;FALSE
ORCL;Ordini da clienti;Offerte a clienti;FALSE
ORCL;;Politiche prezzi;FALSE
ORCL;;Multilistino;FALSE
ORCL;;Codice parlante;FALSE
ORCL;;Multiple Unità di Misura dell'Articolo;FALSE
ORCL;;Quantità accessorie;FALSE
ORCL;;Codice a barre d'acquisto e di vendita ;FALSE
ORCL;;Articoli equivalenti;FALSE
ORCL;;Produttori/Categorie prodotti;FALSE
ORCL;;Copia documenti;FALSE
ORCL;;Import/Export file articoli e note;FALSE
VEDT;Vendite;Politiche prezzi;FALSE
VEDT;;Multilistino;FALSE
VEDT;;Codice parlante;FALSE
VEDT;;Gestione di più bollettari;FALSE
VEDT;;Unità di misura derivate dall'articolo;FALSE
VEDT;;Quantità accessorie;FALSE
VEDT;;Codice a barre d'acquisto e di vendita ;FALSE
VEDT;;Picking List;FALSE
VEDT;;Articoli equivalenti;FALSE
VEDT;;Import/Export file articoli e note;FALSE
VEDT;;Produttori/Categorie prodotti;FALSE
VEDT;;Copia documenti;FALSE
CONA;Conai;;FALSE
RAEE;RAEE;;FALSE
SFMG;Sales Force Management;;FALSE
CRED;Gestione Fidi;;FALSE
ORFO;Ordini fornitori;Gestione offerte da fornitore;FALSE
ORFO;;Politiche prezzi ;FALSE
ORFO;;Multilistino;FALSE
ORFO;;Codice parlante;FALSE
ORFO;;Unità di misura derivate dall'articolo;FALSE
ORFO;;Quantità accessorie;FALSE
ORFO;;Codice a barre d'acquisto e di vendita ;FALSE
ORFO;;Articoli equivalenti;FALSE
ORFO;;Produttori/Categorie prodotti;FALSE
ORFO;;Copia documenti;FALSE
