Module;Functionality;Tag;Discontinued;Standard;Professional;Enterprise;Unavailable
Modulo Base;;SEVR;False;X/0;Nr-User;X;False
;Descrizioni Multilingua;SEVR;False;;;;False
;Multivaluta;SEVR;False;;;;False
;Gestione Contatti;SEVR;False;;;;True
;Budget (Cli/For);SEVR;False;;;;False
Contabilità Generale;;CONT;False;;;;False
;Gestione Pro-rata;CONT;False;;;;False
;IVA Agenzie di Viaggio;CONT;False;;;;False
;Gestione Plafond;CONT;False;;;;False
;Modelli contabili personalizzabili;CONT;False;;;;False
;Ratei e risconti automatici;CONT;False;;;;False
;Analisi e riclassificazioni bilancio;CONT;False;;;;False
;Presentazioni effetti parametrizzabili;CONT;False;;;;False
;Gestione reversali di incasso;CONT;False;;;;False
;Solleciti di pagamento;CONT;False;;;;False
;Gestione parcelle professionisti e ritenute d'acconto;CONT;False;;;;False
;Illimitati registri IVA vendite;CONT;False;;;;False
;Illimitati registri IVA acquisti;CONT;False;;;;False
;Illimitati registri IVA di altro tipo;CONT;False;;;;False
;Gestione Factoring;CONT;False;;;;False
;Gestione automatica insoluti;CONT;False;;;;False
;Analisi Scadenzari e Cash Flow;CONT;False;;;;False
Connettore AGO;;CONT;False;;;;False
Connettore B&O / Maestro;;CONT;False;;;;False
Connettore Magix Fisco Azienda;;CONT;False;;;;False
Connettore OMNIA;;CONT;False;;;;False
Connettore Paghe Web;;CONT;False;;;;False
Fatturazione Elettronica Passiva;;;False;;;;False
Cespiti;;CSPT;False;;;;False
Contabilità Previsionale;;COPR;False;;;;False
XBRL Bilancio;;XBRL;False;;;;False
Analisi di Bilancio (Basilea II);;BAII;False;;;;False
Bilancio Consolidato;;BICO;False;;;;False
Contabilità Analitica;;COAN;False;;;;False
;Linee di Prodotto;COAN;False;;;;False
;Ribaltamenti;COAN;False;;;;False
Gestione cassa;;CASH;False;;;;False
Intrastat;;INTR;False;;;;False
Gestione Banche Avanzato;;BAPL;False;;;;False
Libro Inventari e Allegati;;LIBR;False;;;;False
Tesoreria;;;False;;;;False
Vendite/Acquisti;;;False;;;;False
;Copia documenti;ORCL;False;;;;False
;Import/Export file articoli e note;ORCL;False;;;;False
;Politiche prezzi;ORCL;False;;;;False
;Multilistino;ORCL;False;;;;False
;Codice parlante;ORCL;False;;;;False
;Multiple Unità di Misura dell'Articolo;ORCL;False;;;;False
;Quantità accessorie;ORCL;False;;;;False
;Codice a barre d'acquisto e di vendita;ORCL;False;;;;False
;Articoli equivalenti;ORCL;False;;;;False
;Produttori/Categorie prodotti;ORCL;False;;;;False
Politiche Spese;;VEDT;False;;;;False
Connettore TESAN;;VEDT;False;;;;False
Ordini da clienti;;ORCL;False;;;;False
;Offerte a clienti;ORCL;False;;;;False
Fatturazione/Bollettazione;;VEDT;False;;;;False
;Gestione di più bollettari;VEDT;False;;;;False
;Picking List;VEDT;False;;;;False
e-commerce;;;False;;;;False
CRM;Base;;False;;;;False
;ICRM Pat Connector;INPC;False;;;;False
Conai;;CONA;False;;;;False
RAEE;;RAEE;False;;;;False
