Module;Functionality;Tag;Name;Discontinued;Fragment;AllowISO;DenyISO;Standard;Professional;Enterprise;Available
Base Module;;SEVR;SERVER;False;Server;;;X;X;X;True
;Multilanguage descriptions;SEVR;LANGUAGES;False;Languages;;;X;X;X;True
;Multicurrency;SEVR;CURRENCIES;False;Currencies;;;;X;X;True
;Contacts Management;SEVR;CONTACTS;False;Contacts;;;;;;False
;Budget (Cust/Supp);SEVR;BUDGET;False;Budget;;;;;;False
Financials;;CONT;FINANCIALS;False;Financials;;;X;X;X;True
;Sale Tax Journals;CONT;MULTITAXJ;False;MultiTaxJournals;;;max;max;X;True
;Purchase Tax Journals;CONT;MULTITAXJ;False;MultiTaxJournals;;;max;max;X;True
;Other Tax Journals;CONT;MULTITAXJ;False;MultiTaxJournals;;;max;max;X;True
;Customizable Accounting Templates;CONT;CUSTACCTPL;False;CustomizedAccountingTemplates;;;;X;X;True
;Purchase Electronic Invoice Accounting Import;CPCO;ACCPURELEINV;False;PurchaseElectronicInvoicing;IT;;;X;X;True
;Pro-rata Management;CONT;PRORATA;False;ProRata;IT,RO,RS,HR,ES;;X;X;X;True
;Travel Agency VAT;CONT;TRAVAGVAT;False;TravelAgencyVAT;IT;;X;X;X;True
;Plafond Management;CONT;PLAFOND;False;Plafond;IT,HU;;;X;X;True
;Customizabile Bills Management;CONT;APARPLUS;False;AP_AR_Plus;;;;X;X;True
;Recessed Reversals;CONT;APARPLUS;False;AP_AR_Plus;;;;X;X;True
;Factoring Management;CONT;APARPLUS;False;AP_AR_Plus;;;;;X;True
;Unpaid payment automatic management;CONT;APARPLUS;False;AP_AR_Plus;;;;;X;True
;Dunning letters;CONT;DUNNINGS;False;Dunnings;;;;X;X;True
;Payment Schedule Analysis and Cash Flow;CONT;APARANALSYS;False;AP_AR_Analysis;;;;;X;True
;Automatic Accrual and Deferrals;CONT;ACCRDEFERR;False;AccrualsDeferrals;;;;X;X;True
;Balance Analysis and Reclassifications;CONT;BALANALYSYS;False;BalanceAnalysis;;;;X;X;True
;Professionals Fees and Withholding Tax;CONT;PAYEES;False;Payees;IT,RS,HR,CL,RO,NL,TN,ES;;;X;X;True
;CADI (VAT settlement and documents data communication);CONT;CADI;False;CADI;;;;X;X;True
Advanced Banks Management;SEPA XML;BAPL;BANKPLUS;False;Banks_Plus;IT;;X;X;X;True
;Foreign Bank Transfers / SDD Mandates;BAPL;BANKPLUS;False;Banks_Plus;IT;;;X;X;True
;Bank Reconciliations;BAPL;BANKPLUS;False;Banks_Plus;IT;;;;X;True
Tresaury;;TESO;TREASURERY;False;;IT;;;X;X;True
Fixed Assets;;CSPT;FIXASSETS;False;FixedAssets;;;;X;X;True
Forecast Accounting;;COPR;FOREACC;False;ForecastAccounting;;;;;X;True
XBRL Balance;;XBRL;XBRL;False;XBRL;IT;;;;X;True
Accounting Books and Balance Attachments;;LIBR;ACCBOOKS;False;AccountingBooks;;;;;X;True
Balance Analysis (Basel II);;BAII;BASELII;False;Basel_II;IT;;;;X;True
Consolidated Balance;;BICO;MULTICOMPBAL;False;MultiCompanyBalances;;;;;X;True
Cost Accounting;;COAN;COSTACC;False;CostAccounting;;;;X;X;True
;Product Lines;CFIN;PRODLINES;False;ProductLines;;;;;X;True
;Transfers;CFIN;COSTACCTRAN;False;CostAccountingTransfer;;;;;X;True
Cash Management;;CASH;CASH;False;Cash;;IT,CH,BR;;;X;True
Intrastat;;INTR;INTRASTAT;False;Intrastat;AT,BE,BG,CY,CZ,DE,DK,EE,FI,FR,GB,GR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,ES;;;X;X;True
Zucchetti Cross-Applications;Connettore SOS;SOSC;SOSCONN;False;;IT;;X;X;X;True
;AGO Connector;CONT;AGOCONN;False;AGOConnector;IT;;X;X;X;True
;B&O / Maestro Connector;CONT;BEOCONN;False;BEOConnector;IT;;X;X;X;True
;Magix Fisco Azienda Connector;CONT;FISAZCONN;False;FiscoAziendaConnector;IT;;X;X;X;True
;OMNIA Connector;CONT;OMNIACONN;False;OMNIAConnector;IT;;X;X;X;True
;Payroll Import Connector;CONT;PAYROLLIMP;False;PayrollImport;IT;;X;X;X;True
;TESAN Connector;VEDT;TESANCONN;False;TESANConnector;IT;;;;;False
Sales / Purchases;;VEDT;SALES;False;Sales;;;X;X;X;True
;Document Copy;VEDT;DOCCOPY;False;DocumentCopy;;;X;X;X;True
;Items and Notes Import / Export;VEDT;DOCDETIMPEXP;False;DocumentDetailImportExport;;;X;X;X;True
;Price Policies;VEDT;PRICEPOL;False;PricePolicies;;;;;;False
;Multiple Price Lists;VEDT;PRICEPOL;False;PricePolicies;;;;;;False
;Smart Codes;VEDT;SMARTCODE;False;SmartCode;;;;X;X;True
;Items Multiple Unit of Measure;VEDT;ADVUOM;False;AdvancedUoMs;;;;X;X;True
;Additional Quantities;VEDT;ADDQTY;False;AdditionalQty;;;;X;X;True
;Multiple Purchase and Sale Barcodes;VEDT;PURCHBARC;False;PurhcaseBarCode;;;;X;X;True
;Substitute Items;VEDT;SUBSTITEM;False;SubstituteItems;;;;X;X;True
;Producers and Product Categories;VEDT;PRODCAT;False;ProductCategories;;;;X;X;True
Charge Policies;;VEDT;CHARGEPOL;False;ChargePolicies;;BR;;;;False
Sale Orders;;ORCL;SALORDERS;False;SaleOrders;;;;;;False
;Customer Quotations;ORCL;CUSTQUOTA;False;CustomerQuotations;;;;;;False
Sale Invoices / Delivery Notes;;VEDT;SALES;False;;;;X;X;X;True
;Sale Electronic Invoices;VEDT;ELECTINV;False;ElectronicInvoicing;IT,HU,BR;;X;X;X;True
;Multiple Stub Books;VEDT;MULTISTUB;False;MultiStubBooks;;;;;;False
;Picking List;VEDT;PICKLIST;False;PickingList;;;;;;False
e-commerce;;;ECOMM;False;;;;;Nr-User;Nr-User;True
Store Management;;;STOREMAN;False;;;;X;X;X;True
;Variants / Size and Colors;;STVARIANTS;False;;;;;X/0;X;True
;Restaurant Recipes;;RECIPES;False;;;;;;;False
;In-store App Mobile;;INSTOREAPP;False;;;;;Nr-User;Nr-User;True
CRM;Infinity Connector;MAIF;INFCONN;False;;;;;X;X;False
Conai;;CONA;CONAI;False;Conai;IT,RO,BG,HU,ES;;;;;False
WEEE;;RAEE;RAEE;False;WEEE;AT,BE,BG,CY,CZ,DE,DK,EE,FI,FR,GB,GR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK;;;;;False
Sales Force Management;;SFMG;SALESFORCE;False;SalesPeople;;;;;;False
Credit Limit Management;;CRED;CREDLIMIT;False;CreditLimit;;;;X;X;False
Additional Charges;;;ADDCHARGES;False;AdditionalCharges;;BR;;;;False
Purchase Orders;;ORFO;PURCHORD;False;PurchaseOrders;;;X;X;X;True
;Supplier Quotations;ORFO;SUPPQUOT;False;SupplierQuotations;;;;;;False
Purchases;;ACQT;PURCHASES;False;Purchases;;;;X;X;True
;Electronic Invoices Import in Purchase Documents;;PURCHELEINV;False;;;;;X;X;True
Inventory;;MAGA;INVENTORY;False;Inventory;;;X;X;X;True
;Multistorage;MAGA;MULTISTORAGE;False;MultiStorage;;;;X;X;True
;LIFO/FIFO Continuous Rises;MAGA;SINGSTEPLF;False;SingleStepLifoFifo;RO,RS,HR,PL,US,CN,JP,ES;;;;X;True
;Inventory Adjustments Entries;MAGA;INVADJUST;False;InventoryAdjustment;;;;;X;True
Quality Inspections;;INSP;QUALINSP;False;QualityInspection;;;;;X;True
;Technical Notes;CFIN;QUALINSP;False;QualityInspection;;;;;X;True
Barcode Manager;;BARC;BARCODE;False;Barcode;;;X;X;X;True
Lots and Serial Numbers;;LOTT;LOTSSERIALS;False;LotsSerials;;;;;;False
WMS;Basic;WMAA;WMSBASIC;False;WMSBasic;;;;X/0;X;True
;Advanced;WMAD;WMSADV;False;WMSAdvanced;;;;;X;True
;Shipping;;WMSSHIP;False;WMSShipping;;;;X/0;X;True
;Mobile - backend;WMRF;WMSMOB;False;WMSMobile;;;;X/0;X;True
;Mobile - app;WMRC;WMSMOBAPP;False;WMSMobile;;;;Nr-User;Nr-User;True
Resources Management;;;SERVER;False;;;;;X;X;True
Company Calendar;;;SERVER;False;;;;;;;False
Bill of Materials;;DIST;BILLOFMAT;False;BillOfMaterials;;;;;;False
;Work Centers Calendar;DIST;BILLOFMAT;False;BillOfMaterials;;;;;;False
;Work Centers Families;DIST;BILLOFMAT;False;BillOfMaterials;;;;;;False
;E.C.O.;ECO;ECO;False;ECO;;;;;;False
Variants;;VARI;VARIANTS;False;Variants;;;;;;False
Configurator;;CONF;CONFIGUR;False;Configurator;;;;;;False
Basic Manufacturing;;PRZB;MANUFBASIC;False;ManufacturingBasic;;;;;;False
Advanced Manufacturing;;PRZA;MANUFADV;False;ManufacturingAdvanced;;;;;;False
