Module;Functionality;Tag;Discontinued;Standard;Professional;Enterprise;Unavailable
Modulo Base;Descrizioni Multilingua;SEVR;False;True;True;True;False
;Gestione Contatti;SEVR;False;False;True;False;False
;Budget (Cli/For);SEVR;False;False;True;False;False
;Multivaluta;SEVR;False;False;True;False;False
Contabilità Generale;Gestione Pro-rata;CONT;False;False;True;False;False
;Gestione Plafond;CONT;False;False;True;False;False
;Modelli contabili personalizzabili;CONT;False;False;True;False;False
;IVA Agenzie di Viaggio;CONT;False;False;True;False;False
;Ratei e risconti automatici;CONT;False;False;False;False;False
;Analisi e riclassificazioni bilancio;CONT;False;False;False;False;False
;Presentazioni effetti parametrizzabili;CONT;False;False;False;False;False
;Gestione reversali di incasso;CONT;False;False;False;False;False
;Gestione Factoring;CONT;False;False;False;False;False
;Solleciti di pagamento;CONT;False;False;False;False;False
;Gestione automatica insoluti;CONT;False;False;False;False;False
;Analisi Scadenzari e Cash Flow;CONT;False;False;False;False;False
;Gestione parcelle professionisti e ritenute d'acconto;CONT;False;False;False;False;False
;Illimitati registri IVA vendite;CONT;False;False;False;False;False
;Illimitati registri IVA acquisti;CONT;False;False;False;False;False
;Illimitati registri IVA di altro tipo;CONT;False;False;False;False;False
Contabilità Previsionale;;COPR;False;False;False;False;False
XBRL Bilancio;;XBRL;False;False;False;False;False
Analisi di Bilancio (Basilea II);;BAII;False;False;False;False;False
Bilancio Consolidato;;BICO;False;False;False;False;False
Contabilità Analitica;Linee di Prodotto;COAN;False;False;False;False;False
;Ribaltamenti;COAN;False;False;False;False;False
Cespiti;;CSPT;False;False;False;False;False
Gestione cassa;;CASH;False;False;False;False;False
Intrastat;;INTR;False;False;False;False;False
Gestione Banche Avanzato;;BAPL;False;False;False;False;False
Libro Inventari e Allegati;;LIBR;False;False;False;False;False
Tesoreria;;;False;False;False;False;False
Fatturazione Elettronica Passiva;;;False;False;False;False;False
Fatturazione Elettronica Import. Ciclo Passivo;;;False;False;False;False;False
Ordini da clienti;Offerte a clienti;ORCL;False;False;False;False;False
;Politiche prezzi;ORCL;False;False;False;False;False
;Multilistino;ORCL;False;False;False;False;False
;Codice parlante;ORCL;False;False;False;False;False
;Multiple Unità di Misura dell'Articolo;ORCL;False;False;False;False;False
;Quantità accessorie;ORCL;False;False;False;False;False
;Codice a barre dàacquisto e di vendita;ORCL;False;False;False;False;False
;Articoli equivalenti;ORCL;False;False;False;False;False
;Produttori/Categorie prodotti;ORCL;False;False;False;False;False
;Copia documenti;ORCL;False;False;False;False;False
;Import/Export file articoli e note;ORCL;False;False;False;False;False
Vendite;Politiche prezzi;VEDT;False;False;False;False;False
;Multilistino;VEDT;False;False;False;False;False
;Codice parlante;VEDT;False;False;False;False;False
;Gestione di pià bollettari;VEDT;False;False;False;False;False
;Unità di misura derivate dall'articolo;VEDT;False;False;False;False;False
;Quantità accessorie;VEDT;False;False;False;False;False
;Codice a barre dàacquisto e di vendita;VEDT;False;False;False;False;False
;Picking List;VEDT;False;False;False;False;False
;Articoli equivalenti;VEDT;False;False;False;False;False
;Import/Export file articoli e note;VEDT;False;False;False;False;False
;Produttori/Categorie prodotti;VEDT;False;False;False;False;False
;Copia documenti;VEDT;False;False;False;False;False
Conai;;CONA;False;False;False;False;False
RAEE;;RAEE;False;False;False;False;False
Sales Force Management;;SFMG;False;False;False;False;False
Gestione Fidi;;CRED;False;False;False;False;False
Ordini fornitori;Gestione offerte da fornitore;ORFO;False;False;False;False;False
;Politiche prezzi;ORFO;False;False;False;False;False
;Multilistino;ORFO;False;False;False;False;False
;Codice parlante;ORFO;False;False;False;False;False
;Unità di misura derivate dallàarticolo;ORFO;False;False;False;False;False
;Quantità accessorie;ORFO;False;False;False;False;False
;Codice a barre dàacquisto e di vendita;ORFO;False;False;False;False;False
;Articoli equivalenti;ORFO;False;False;False;False;False
;Produttori/Categorie prodotti;ORFO;False;False;False;False;False
;Copia documenti;ORFO;False;False;False;False;False
;Import/Export file articoli e note;ORFO;False;False;False;False;False
Acquisti;;ACQT;False;False;False;False;False
Controllo qualità;;INSP;False;False;False;False;False
Magazzino;Multi deposito;MAGA;False;False;False;False;False
;LIFO/FIFO a scatti continui;MAGA;False;False;False;False;False
;Codice parlante;MAGA;False;False;False;False;False
;Multi bollettario;MAGA;False;False;False;False;False
;Unità di misura derivate dallàarticolo;MAGA;False;False;False;False;False
;Quantità accessorie;MAGA;False;False;False;False;False
;Codice a barre dàacquisto e di vendita;MAGA;False;False;False;False;False
;Articoli equivalenti;MAGA;False;False;False;False;False
;Produttori/Categorie prodotti;MAGA;False;False;False;False;False
;Import/Export file articoli e note;MAGA;False;False;False;False;False
;Movimenti di magazzino di rettifica inventariale;MAGA;False;False;False;False;False
;Note Tecniche;MAGA;False;False;False;False;False
Lotti e Matricole;;LOTT;False;False;False;False;False
WMS;Base;WMAA;False;False;False;False;False
;Avanzato;WMAD;False;False;False;False;False
;Mobile;WMRF;False;False;False;False;False
Barcode Manager;;BARC;False;False;False;False;False
Distinta Base;Calendario Associato ai CdL;DIST;False;False;False;False;False
;Famiglie di CdL;DIST;False;False;False;False;False
;E.C.O.;DIST;False;False;False;False;False
Varianti;;VARI;False;False;False;False;False
Produzione Base;;PRZB;False;False;False;False;False
Configuratore;;CONF;False;False;False;False;False
Produzione Avanzata;Gestione Disegni;PRZA;False;False;False;False;False
;Storico disegni e indici di revisione;PRZA;False;False;False;False;False
;Pannello di Controllo;PRZA;False;False;False;False;False
;Dettaglio delle Consuntivazioni OdP;PRZA;False;False;False;False;False
;Confronto tra OdP e Distinta;PRZA;False;False;False;False;False
;Kanban;PRZA;False;False;False;False;False
;Analisi materiali in produzione;PRZA;False;False;False;False;False
Ordini Aperti;;OPOR;False;False;False;False;False
Manufacturing Mobile;;MANM;False;False;False;False;False
Pianificazione;;PRZP;False;False;False;False;False
Pianificazione Avanzata;Gestione Make or Buy;PRPA;False;False;False;False;False
Attrezzi;;;False;False;False;False;False
DMS;Base;EATT;False;False;False;False;False
;Massive Archiving Plug-In;EATT;False;False;False;False;False
Mail Services;;MAIL;False;False;False;False;False
Resources Management;;;False;False;False;False;False
Calendario Aziendale;;;False;False;False;False;False
Reporting Services;;;False;False;False;False;False
Collaboration Services;;;False;False;False;False;False
Administration Services;;;False;False;False;False;False
Subscrption Management;;;False;False;False;False;False
Job Scheduler;;SCHD;False;False;False;False;False
Security;Access profiles;OSLS;False;False;False;False;False
;Auditing;AUDT;False;False;False;False;False
;Data Protection;;False;False;False;False;False
Integration Tools;IMS;;False;False;False;False;False
;MagicLink;;False;False;False;False;False
;Xgate;;False;False;False;False;False
e-commerce;;;False;False;False;False;False
Reporting Services Studio;;;False;False;False;False;False
IMS Studio;;;False;False;False;False;False
Easy Look;;ELSR;True;False;False;False;False
Spesometro;;FISC;True;False;False;False;False
InfoBusiness Connector Standard;;IBCO;True;False;False;False;False
" ICRM Pat Connector";;INPC;False;False;False;False;False
Infinity Connector;;MAIF;True;False;False;False;False
Magic Document;;MDOC;True;False;False;False;False
Migration Kit da MagoXP a Mago.Net;;MIGR;True;False;False;False;False
Security Light;;OSLL;True;False;False;False;False
SOSConnector;;SOSC;False;False;False;False;False
Ubicazioni;;UBIC;True;False;False;False;False
Xgate;;XGAT;True;False;False;False;False
