feature;weight
SERVER;165
LANGUAGES;90
CURRENCIES;90
CONTACTS;90
BUDGET;60
FINANCIALS;330
MULTITAXJ;30
CUSTACCTPL;30
PRORATA;20
TRAVAGVAT;20
PLAFOND;20
APARPLUS;30
DUNNINGS;30
APARANALSYS;30
ACCRDEFERR;20
BALANALYSYS;50
PAYEES;30
CADI;20
ACCPURELEINV;150
BANKPLUS;330
TREASURERY;1200
FIXASSETS;605
FOREACC;275
XBRL;550
ACCBOOKS;440
BASELII;330
MULTICOMPBAL;605
COSTACC;374
PRODLINES;187
COSTACCTRAN;187
CASH;110
INTRASTAT;165
SALORDERS;290
CUSTQUOTA;95
SALES;330
DOCCOPY;3
DOCDETIMPEXP;3
PRICEPOL;30
SMARTCODE;20
ADVUOM;20
ADDQTY;3
PURCHBARC;3
SUBSTITEM;3
PRODCAT;3
CHARGEPOL;5
ELECTINV;10
MULTISTUB;5
PICKLIST;5
CONAI;165
RAEE;275
SALESFORCE;275
CREDLIMIT;275
PURCHORD;290
SUPPQUOT;95
PURCHASES;605
INVENTORY;440
MULTISTORAGE;60
SINGSTEPLF;35
INVADJUST;15
QUALINSP;550
BARCODE;330
LOTSSERIALS;165
WMSBASIC;1650
WMSADV;2860
WMSMOB;1100
WMSMOBAPP;330
BILLOFMAT;748
VARIANTS;605
CONFIGUR;748
MANUFBASIC;748
MANUFADV;2500
BILLOFMATPLUS;50
MANUFPLUS;110
KANBAN;200
OPENORDERS;880
MANUFMOB;1320
MANUFMOBAPP;330
MANUFPLAN;3300
MRPADV;2200
TOOLMANAG;880
DMSBASE;1650
DMSMASS;300
JOBSCHEDUL;660
SECURITY;660
SECURITYADV;3000
AUDITING;308
