tag;license;mlu
SEVR;330;59
CONT;440;79
CPCO;250;45
BAPL;220;40
TESO;1200;300
CSPT;506;91
COPR;220;40
XBRL;495;89
LIBR;330;59
BAII;220;40
BICO;506;91
COAN;649;117
CASH;83;15
INTR;110;20
SOSC;0;0
ORCL;275;50
VEDT;330;59
CONA;110;20
RAEE;220;40
SFMG;220;40
CRED;220;40
ORFO;275;50
ACQT;506;91
MAGA;330;59
BARC;220;40
LOTT;110;20
WMAA;1320;238
WMRF;825;149
WMRC;330;59
DIST;649;117
EATT;1650;297
MASS;300;54
MAIL;0;0
SCHD;660;119
OSLL;660;119
OSLS;3000;540
AUDT;308;55
MAIF;550;99
ADPK;1265;228
COMD;693;125
EDU0;0;0
SBPK;990;178
TRPK;2530;455
CFIN;0;0
CFUL;0;0
CAL;550;99
