tag;license;mlu
SEVR;495;89
CONT;660;119
CPCO;150;27
BAPL;330;59
TESO;1200;300
CSPT;605;109
COPR;275;50
XBRL;550;99
LIBR;440;79
BAII;330;59
BICO;605;109
COAN;748;135
CASH;110;20
INTR;165;30
SOSC;0;0
ORCL;385;69
VEDT;440;79
CONA;165;30
RAEE;275;50
SFMG;275;50
CRED;275;50
ORFO;385;69
ACQT;605;109
MAGA;440;79
INSP;550;99
BARC;330;59
LOTT;165;30
WMAA;1650;297
WMAD;2860;515
WMRF;1100;198
WMRC;330;59
DIST;748;135
ECO;0;0
VARI;605;109
CONF;748;135
PRZB;748;135
PRZA;2860;515
OPOR;880;158
MANM;1320;238
MANC;330;59
PRZP;3300;594
PRPA;2200;396
ATTR;880;158
EATT;1650;297
MASS;300;54
MAIL;0;0
SCHD;660;119
OSLL;660;119
OSLS;3000;540
AUDT;308;55
MAIF;550;99
ADPK;1705;307
COMD;968;174
EDU1;0;0
SBPK;1375;248
TRPK;3245;584
CFIN;2000;360
CFUL;3000;540
CAL;660;119
