Codice Utente;Ragione Sociale;Attivazione N.;Data Attivaz;Release;Numero C.A.L.;Descrizione prodotto;Ha personalizzazioni;ACQT;ADKF;ADPK;AUDT;BAII;BAPL;BARC;BICO;CASH;CFIN;CFUL;COAN;COMF;COMM;CONA;CONF;CONT;COPR;CRED;CSPT;DIST;EATT;EDU1;ELSR;FISC;IBCO;INPC;INSP;INTR;LIBR;LOTT;MAGA;MAIF;MAIL;MANM;MDOC;MDPS;MIGR;OPOR;ORCL;ORFO;OSLL;OSLS;PACK;PCKF;PRPA;PRZA;PRZB;PRZP;RAEE;SCHD;SCOM;SERD;SEVR;SFMG;SOSC;TRKF;TRPK;UBIC;VARI;VEDT;WMAA;WMAD;WMRF;XBRL;XGAT
5315;3G PORTE SNC;10;20/05/2009;2.8.4.20070824;3;Mago.Net PRO Powered by MSDE;Si;;;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;X
2350;A.D. TAVERNA S.P.A. IN LIQUIDAZIONE;9;01/02/2012;2.13.5.20100324;2;Mago.Net PRO Powered by MSDE;Si;;;;;;;;;;;;;;;;;X;D;;D;;;;;;;;;D;;;;;;;;;X;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
15958;ABRASIVE TECHNOLOGY SRL;28;24/05/2017;3.14.4.0335;3;Mago.Net PRO Powered by MSDE;Si;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;X;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
5696;ABRUZZESE CENTRO BABY DI CELLA GIANFRANCO & C. SNC;10;22/05/2018;3.14.4.0335;1;Mago.Net PRO Powered by MSDE;Si;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;
8303;AGAVE SAS;21;05/01/2011;3.2.3.38;6;Mago.Net PRO Powered by SQL Server;No;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;X
9366;AR.CO. SNC DI DANIELA ROMANO';6;29/11/2011;3.9.7.0049;1;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
6799;AUTOFFICINA A10 DI ANTONINO CAPOSTAGNO & C. SNC;10;27/09/2018;3.14.5.0520;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D;;;;;;X;;;;;;;;;;;;;;;;;;;;;;
17554;AUTONORD SAS DI LUISA LAGOMARSINO&C;2;09/02/2009;2.12.0.20081230;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;
783;AZIENDA SPECIALE WORLD TRADE CENTER GENOA;13;01/06/2017;3.14.0.0276;1;Mago.Net PRO Powered by MSDE;Si;;;;;;;;;;;;X;;;;;X;;;;;;;;X;;;;;;;;;;;X;;D;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
2388;B.B.C. SRL;23;18/01/2016;3.12.6.0551;5;Mago.Net PRO All Database;No;X;;;;;;;;;;;X;;;;;;;;;X;;;;X;;;;X;;;;;X;;;;;;X;X;X;;;X;;X;X;;;;;;;;;;;;;;;;;;
20671;B.G.E. BADIA GREEN ENERGY SRL;1;02/01/2012;3.5.6.0235;1;Mago.Net PRO Powered by MSDE;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;
5021;BAZZOTTI DOTT. OSCAR;9;28/07/2015;3.12.3.0289;1;Mago.Net PRO Powered by MSDE;No;;;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
